"ID","Title","DOI","ResGrp","Institution","Journal","Year","AnalysisPgrm","CodeArchived","DAS","CorresAuthor","Preprints","Repository","Complete","Reuse","Access","Licence","Image","Genomics","Human","filepath"
308,"Geostatistical models using remotely-sensed data predict savanna tsetse decline across the interface between protected and unprotected areas in Serengeti, Tanzania","10.1111/1365-2664.13091","Morrison","Roslin","Journal of Applied Ecology",2018,1,"1",1,3,0,"SM, Zenodo",3,4,4,4,NA,NA,NA,"pdf/308.pdf"
119,"Antigen Sampling CSF1R-Expressing Epithelial Cells Are the Functional Equivalents of Mammalian M Cells in the Avian Follicle-Associated Epithelium","10.3389/fimmu.2019.02495","Vohra","Edinburgh Infectious Diseases Organisation","Frontiers in Immunology               (Frontiers)",2019,1,NA,1,0,0,"supp",2,4,2,4,1,NA,NA,"pdf/119.pdf"
223,"Host Resistance to Plasmodium-Induced Acute Immune Pathology Is Regulated by Interleukin-10 Receptor Signaling","10.1128/iai.00941-16","Riley","IIIR","Infection and Immunity",2017,1,NA,NA,3,0,"SM",2,2,2,3,0,NA,NA,"pdf/223.pdf"
469,"Amyloid precursor protein expression and processing are differentially regulated during cortical neuron differentiation","10.1038/srep29200","Kunath","CRM","Scientific Reports",2016,1,"0",NA,0,0,NA,1,1,1,1,0,1,NA,"pdf/469.pdf"
150,"Pathway profiling of a novel SRC inhibitor, AZD0424, in combination with MEK inhibitors","10.1002/1878-0261.13151","Frame","IGC (Edinburgh Cancer Research)","Molecular Oncology",2021,1,NA,1,0,1,"supp",2,3,2,4,0,NA,NA,"pdf/150.pdf"
358,"Expanding and understanding the CRISPR toolbox for Bacillus subtilis with MAD7 and dMAD7","10.1002/bit.27312","Susan Rosser","IQB3","Biotechnology and Bioengineering",2020,0,NA,NA,1,0,"Supplementary info",2,3,4,4,NA,0,NA,"pdf/358.pdf"
374,"Optimizing the biosynthesis of oxygenated and acetylated Taxol precursors in Saccharomyces cerevisiae using advanced bioprocessing strategies","10.1002/bit.27569","Stephen Wallace","IQB3","Biotechnology and Bioengineering",2020,1,NA,0,1,0,"Supporting information",2,3,2,4,NA,NA,NA,"pdf/374.pdf"
313,"On-line untargeted metabolomics monitoring of an Escherichia coli succinate fermentation process","10.1002/bit.28173","Karl Burgess","IQB3","Biotechnology and Bioengineering",2022,1,NA,1,1,0,"Supplementary material, MetaboLights",3,4,4,4,NA,NA,NA,"pdf/313.pdf"
373,"Tyramine Derivatives Catalyze the Aldol Dimerization of Butyraldehyde in the Presence of Escherichia coli","10.1002/cbic.202200238","Stephen Wallace","IQB3","ChemBioChem",2022,0,NA,1,1,0,"Supporting information",2,2,2,4,NA,NA,NA,"pdf/373.pdf"
454,"Expression of Plet1 controls interstitial migration of murine small intestinal dendritic cells","10.1002/eji.201847671","Blackburn","CRM","European Journal of Immunology",2019,1,NA,NA,0,0,"S",2,2,2,4,0,1,NA,"pdf/454.pdf"
457,"An induced thymic epithelial cell‐based high throughput screen for thymus extracellular matrix mimetics","10.1002/eji.202249934","Blackburn","CRM","European Journal of Immunology",2023,1,"2",0,1,0,NA,2,4,2,4,0,0,0,"pdf/457.pdf"
98,"Telomere elongation through hTERT immortalization leads to chromosome repositioning in control cells and genomic instability in Hutchinson-Gilford progeria syndrome fibroblasts, expressing a novel SUN1 isoform","10.1002/gcc.22711","Schirmer","SBS (Institute of Cell Biology)","Genes, Chromosomes and Cancer",2019,1,NA,NA,0,0,"supp",2,2,2,3,0,0,0,"pdf/98.pdf"
496,"Polysialic Acid/Neural Cell Adhesion Molecule Modulates the Formation of Ductular Reactions in Liver Injury","10.1002/hep.27099","Boulter","HGU","Hepatology",2014,1,NA,NA,0,0,"S",2,2,2,2,1,1,0,"pdf/496.pdf"
330,"A comparative study of the fecal microbiota of gray seal pups and yearlings - a marine mammal sentinel species","10.1002/mbo3.1281","Andrew Free","IQB3","Microbiology",2022,1,NA,1,0,0,"European Nucleotide Archive (ENA) ",3,4,4,4,NA,1,NA,"pdf/330.pdf"
57,"Bone morphogenetic protein and Notch signalling crosstalk in poor-prognosis, mesenchymal-subtype colorectal cancer: BMP and Notch interaction in CRC subtypes","10.1002/path.4891","Tomlinson","IGC (Edinburgh Cancer Research)","The Journal of Pathology",2017,1,NA,NA,0,0,"supp",3,3,2,4,0,NA,0,"pdf/57.pdf"
171,"Random forest modelling demonstrates microglial and protein misfolding features to be key phenotypic markers in C9orf72‐ALS","10.1002/path.6008","Sibley","SBS (Institute of Quantitative Biology, Biochemistry and Biotechnology)","The Journal of Pathology",2022,1,"1",1,0,1,"figshare ",4,4,4,4,1,NA,1,"pdf/171.pdf"
444,"Modelling foetal exposure to maternal smoking using hepatoblasts from pluripotent stem cells","10.1007/s00204-017-1983-0","Hay","CRM","Archives of Toxicology",2017,0,"0",NA,1,0,NA,1,1,1,1,0,1,0,"pdf/444.pdf"
445,"3D human liver tissue from pluripotent stem cells displays stable phenotype in vitro and supports compromised liver function in vivo","10.1007/s00204-018-2280-2","Hay","CRM","Archives of Toxicology",2018,1,NA,NA,1,0,NA,1,1,1,1,0,1,0,"pdf/445.pdf"
433,"Characterization of the effects of n-butanol on the cell envelope of E. coli","10.1007/s00253-016-7771-6","Teuta Pilizota","Other","Applied Microbiology and Biotechnology",2016,0,NA,NA,0,1,"Supplementary material",2,2,2,3,1,NA,NA,"pdf/433.pdf"
364,"A geometric analysis of fast-slow models for stochastic gene expression","10.1007/s00285-015-0876-1","Peter Swain","IQB3","Mathematical Biology",2015,1,NA,NA,0,0,"Supplementary info",3,2,2,3,NA,NA,NA,"pdf/364.pdf"
92,"Activin receptors regulate the oligodendrocyte lineage in health and disease","10.1007/s00401-018-1813-3","Williams","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","Acta Neuropathologica",2018,1,NA,NA,0,0,NA,1,1,1,1,0,NA,NA,"pdf/92.pdf"
166,"Selective vulnerability of inhibitory networks in multiple sclerosis","10.1007/s00401-020-02258-z","Williams","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","Acta Neuropathologica",2021,1,"0",NA,1,1,NA,1,1,1,1,0,NA,0,"pdf/166.pdf"
192,"Loss of the heterogeneous expression of flippase ATP11B leads to cerebral small vessel disease in a normotensive rat model","10.1007/s00401-022-02441-4","Williams","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","Acta Neuropathologica",2022,1,"1",NA,1,1,NA,1,1,1,1,0,0,NA,"pdf/192.pdf"
490,"Defects in Meiotic Recombination Delay Progression Through Pachytene in Tex19.1-/- Mouse Spermatocytes","10.1007/s00412-018-0674-9","Adams","HGU","Chromosoma",2018,1,"0",NA,1,1,"S",1,1,1,1,0,1,NA,"pdf/490.pdf"
96,"HO-1 drives autophagy as a mechanism of resistance against HER2-targeted therapies","10.1007/s10549-019-05489-1","Brunton","IGC (Edinburgh Cancer Research)","Breast cancer research and treatment",2019,1,NA,NA,1,0,NA,1,1,1,1,0,NA,NA,"pdf/96.pdf"
143,"Loss of SORCS2 is Associated with Neuronal DNA Double-Strand Breaks","10.1007/s10571-021-01163-7","Abbott","IGC (Centre for Genomic and Experimental Medicine)","Cellular and Molecular Neurobiology",2021,1,NA,0,0,1,"supp",2,3,2,4,0,NA,NA,"pdf/143.pdf"
193,"Mutations in RNU7-1 weaken secondary RNA structure, induce MCP-1 and CXCL10 in CSF, and result in Aicardi-Goutières Syndrome with severe end-organ involvement ","10.1007/s10875-022-01209-5","Crow","IGC (Centre for Genomic and Experimental Medicine)","Journal of Clinical Immunology",2022,1,"0",0,0,0,NA,1,1,1,1,NA,0,NA,"pdf/193.pdf"
198,"Type I interferonopathy due to a homozygous loss-of-inhibitory-function mutation in STAT2 ","10.1007/s10875-023-01445-3","Crow","IGC (Centre for Genomic and Experimental Medicine)","Journal of Clinical Immunology",2023,1,NA,NA,1,0,NA,1,1,1,1,0,0,NA,"pdf/198.pdf"
314,"A novel targeted/untargeted GC-Orbitrap metabolomics methodology applied to Candida albicans and Staphylococcus aureus biofilms","10.1007/s11306-016-1134-2","Karl Burgess","IQB3","Metabolomics",2016,1,NA,NA,1,0,"Supplementary material",4,4,2,4,NA,NA,NA,"pdf/314.pdf"
317,"Rapid HILIC-Z ion mobility mass spectrometry (RHIMMS) method for untargeted metabolomics of complex biological samples","10.1007/s11306-022-01871-1","Karl Burgess","IQB3","Metabolomics",2022,1,NA,1,1,0,"Supplementary material",2,3,2,4,NA,NA,NA,"pdf/317.pdf"
410,"Developmental expression of the cucumber Cs-XTH1 and Cs-XTH3 genes, encoding xyloglucan endotransglucosylase/hydrolases, can be influenced by mechanical stimuli","10.1007/s11738-018-2707-7","Stephen Fry","Other","Acta Physiologiae Plantarum ",2018,0,NA,NA,1,0,"Supplementary material",2,2,2,4,0,0,NA,"pdf/410.pdf"
402,"Metabolites of 2,3-diketogulonate delay peroxidase action and induce non-enzymic H2O2 generation: Potential roles in the plant cell wall","10.1016/j.abb.2017.03.006","Stephen Fry","Other","Archieves of Biochemistry and Biophysics",2017,1,NA,NA,0,0,"Supplementary data",2,2,2,4,0,NA,NA,"pdf/402.pdf"
388,"Evaluation of novel 3D-printed monolithic adsorbers against conventional chromatography columns for the purification of c-phycocyanin from Spirulina","10.1016/j.algal.2021.102253","Alistair McCormick","Other","Algal Research",2021,1,NA,NA,1,0,"Supporting information",2,3,2,3,0,0,NA,"pdf/388.pdf"
434,"Origins of Escherichia coli Growth Rate and Cell Shape Changes at High External Osmolality","10.1016/j.bpj.2014.08.025","Teuta Pilizota","Other","PNAS",2014,0,NA,NA,1,0,"Supplementary material",2,2,2,4,NA,NA,NA,"pdf/434.pdf"
436,"Single-Cell Bacterial Electrophysiology Reveals Mechanisms of Stress-Induced Damage","10.1016/j.bpj.2019.04.039","Teuta Pilizota","Other","Biophysical journal",2019,1,"0",0,1,0,"Supplementary material",2,2,2,3,NA,NA,NA,"pdf/436.pdf"
431,"Environmental conditions define the energetics of bacterial dormancy and its antibiotic susceptibility","10.1016/j.bpj.2023.06.023","Teuta Pilizota","Other","Biophysical Journal",2023,0,NA,1,1,0,"Public repository and supplementary data",4,4,4,4,0,NA,NA,"pdf/431.pdf"
31,"Paradox-Breaking RAF Inhibitors that Also Target SRC Are Effective in Drug-Resistant BRAF Mutant Melanoma","10.1016/j.ccell.2014.11.006","Frame","IGC (Edinburgh Cancer Research)","Cancer Cell",2015,1,NA,NA,0,0,"supp",2,2,2,3,0,0,NA,"pdf/31.pdf"
30,"Nuclear FAK Controls Chemokine Transcription, Tregs, and Evasion of Anti-tumor Immunity","10.1016/j.cell.2015.09.001","Frame","IGC (Edinburgh Cancer Research)","Cell",2015,1,NA,NA,1,0,"supp",2,4,4,4,NA,1,NA,"pdf/30.pdf"
155,"Glioblastomas acquire myeloid-affiliated transcriptional programs via epigenetic immunoediting to elicit immune evasion","10.1016/j.cell.2021.03.023","Pollard","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","Cell",2021,1,"0",1,1,0,"Github",2,4,4,4,0,1,NA,"pdf/155.pdf"
7,"A Polymorphic Enhancer near GREM1 Influences Bowel Cancer Risk through Differential CDX2 and TCF7L2 Binding ","10.1016/j.celrep.2014.07.020","Tomlinson","IGC (Edinburgh Cancer Research)","Cell Reports",2014,1,NA,NA,1,0,NA,1,1,1,1,0,NA,NA,"pdf/7.pdf"
452,"Identification of a bipotent epithelial progenitor population in the adult thymus","10.1016/j.celrep.2016.02.080","Blackburn","CRM","Cell Reports",2016,1,NA,NA,1,0,"S",1,1,1,1,0,1,NA,"pdf/452.pdf"
519,"5-Hydroxymethylcytosine Remodeling Precedes Lineage Specification during Differentiation of Human CD4+ T Cells","10.1016/j.celrep.2016.05.091","Meehan","HGU","Cell Reports",2016,1,"2",NA,0,0,"B",4,4,4,3,0,1,0,"pdf/519.pdf"
55,"Progressive motor neuron pathology and the role of astrocytes in a Human Stem Cell Model of VCP-Related ALS","10.1016/j.celrep.2017.05.024","Sibley","SBS (Institute of Quantitative Biology, Biochemistry and Biotechnology)","Cell Reports",2017,1,"1",NA,0,0,"GEO, Supp",2,4,4,4,0,1,0,"pdf/55.pdf"
522,"DNA Methylation Directs Polycomb-Dependent 3D Genome Re-organization in Naive Pluripotency","10.1016/j.celrep.2019.10.031","Meehan","HGU","Cell Reports",2019,1,"1",1,1,1,"B",3,4,4,4,0,1,NA,"pdf/522.pdf"
147,"Defining the fetal origin of MLL-AF4 infant leukemia highlights specific fatty acid requirements","10.1016/j.celrep.2021.109900","Ottersbach","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","Cell Reports",2021,1,NA,0,1,0,"Paper",2,4,4,4,NA,1,NA,"pdf/147.pdf"
175,"Toll-like receptor orchestrates a tumor suppressor response in non-small cell lung cancer","10.1016/j.celrep.2022.111596","Frame","IGC (Edinburgh Cancer Research)","Cell Reports",2022,1,NA,0,0,1,NA,1,1,1,1,0,NA,0,"pdf/175.pdf"
526,"MEK Inhibitors Reverse cAMP-Mediated Anxiety in Zebrafish","10.1016/j.chembiol.2015.08.010","Patton","HGU","Chemistry & Biology",2015,1,"0",NA,1,0,"S",2,3,2,4,1,1,NA,"pdf/526.pdf"
446,"The Hippo Pathway Regulates Caveolae Expression and Mediates Flow Response via Caveolae","10.1016/j.cub.2018.11.066","Hay","CRM","Current Biology",2019,1,NA,NA,0,0,"S",2,3,2,4,1,1,0,"pdf/446.pdf"
480,"Polarity reversal by centrosome repositioning primes cell scattering during epithelial-to-mesenchymal transition","10.1016/j.devcel.2016.12.004","Lowell","CRM","Developmental Cell",2017,1,"0",NA,0,0,"S",2,2,2,3,1,1,NA,"pdf/480.pdf"
461,"A Gene Regulatory Network Balances Neural and Mesoderm Specification during Vertebrate Trunk Development","10.1016/j.devcel.2017.04.002","Wilson","CRM","Developmental Cell",2017,1,"1",1,0,0,"B",3,4,4,4,0,1,NA,"pdf/461.pdf"
521,"A Cell/Cilia Cycle Biosensor for Single-Cell Kinetics Reveals Persistence of Cilia after G1/S Transition Is a General Property in Cells and Mice","10.1016/j.devcel.2018.10.027","Meehan","HGU","Developmental Cell",2018,1,"0",NA,0,0,"S",2,3,2,4,1,1,NA,"pdf/521.pdf"
482,"Id1 stabilises epiblast identity by sensing delays in nodal activation and adjusting the timing of differentiation","10.1016/j.devcel.2019.05.032","Lowell","CRM","Developmental Cell",2019,1,"2",1,1,0,"B",3,4,4,4,1,1,NA,"pdf/482.pdf"
531,"PRL3-DDX21 transcriptional control of endolysosomal genes restricts melanocyte stem cell differentiation","10.1016/j.devcel.2020.06.013","Patton","HGU","Developmental Cell",2020,1,"2",0,1,0,"B",3,4,4,4,1,1,0,"pdf/531.pdf"
466,"Diverse Routes toward Early Somites in the Mouse Embryo","10.1016/j.devcel.2020.11.013","Wilson","CRM","Developmental Cell",2021,1,"1",1,1,0,"B",4,4,4,4,0,1,NA,"pdf/466.pdf"
513,"A unique macrophage subpopulation signals directly to progenitor cells to promote regenerative neurogenesis in the zebrafish spinal cord.","10.1016/j.devcel.2021.04.031","Henderson","HGU","Developmental Cell",2021,1,"0",1,0,0,"B",3,4,4,3,0,1,NA,"pdf/513.pdf"
126,"A multistage sequencing strategy pinpoints many novel and candidate disease alleles for orphan Disease Emery-Dreifuss Muscular Dystrophy and Supports Gene Misregulation as its Pathomechanism","10.1016/j.ebiom.2019.11.048","Schirmer","SBS (Institute of Cell Biology)","eBioMedicine",2020,1,NA,NA,1,1,"supp",2,3,2,4,0,0,0,"pdf/126.pdf"
109,"Fetal liver Mll-AF4+ hematopoietic stem and progenitor cells respond directly to poly(I:C), but not to a single maternal immune activation","10.1016/j.exphem.2019.07.004","Ottersbach","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","Experimental Hematology",2019,1,NA,NA,1,0,NA,1,1,1,1,NA,NA,NA,"pdf/109.pdf"
472,"Multiomics analyses of HNF4a protein domain function during human pluripotent stem cell differentiation","10.1016/j.isci.2019.05.028","Kunath","CRM","iScience",2019,1,"2",NA,0,0,"B",3,4,4,4,0,1,0,"pdf/472.pdf"
524,"A human pluripotent stem cell model for the analysis of metabolic dysfunction in hepatic steatosis","10.1016/j.isci.2020.101931","Meehan","HGU","iScience",2021,1,NA,1,0,0,"B",3,4,4,4,0,1,0,"pdf/524.pdf"
162,"CHIP-dependent regulation of the actin cytoskeleton is linked to neuronal cell membrane integrity","10.1016/j.isci.2021.102878","Kunath","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","iScience",2021,1,NA,1,0,0,"different identifier",3,4,4,4,0,NA,NA,"pdf/162.pdf"
474,"CHIP-Dependent Regulation of the Actin Cytoskeleton is Linked to Neuronal Cell Membrane Integrity","10.1016/j.isci.2021.102878","Kunath","CRM","iScience",2021,1,"2",1,0,0,"B",3,4,4,4,0,1,0,"pdf/474.pdf"
74,"Disease-associated mutations identify a novel region in human STING necessary for the control of type I interferon signaling ","10.1016/j.jaci.2016.10.031","Crow","IGC (Centre for Genomic and Experimental Medicine)","Journal of Allergy and Clinical Immunology",2017,1,NA,NA,1,0,"Paper",2,2,2,2,NA,0,0,"pdf/74.pdf"
527,"Mosaic Activating Mutations in GNA11 and GNAQ Are Associated with Phakomatosis Pigmentovascularis and Extensive Dermal Melanocytosis","10.1016/j.jid.2015.11.027","Patton","HGU","Journal of Investigative Dermatology",2016,0,"0",NA,0,0,"B",2,2,2,4,0,1,1,"pdf/527.pdf"
135,"Megadalton-sized dityrosine aggregates of α-synuclein retain high degrees of structural disorder and internal dynamics","10.1016/j.jmb.2020.10.023","Rappsilber","SBS (Institute of Cell Biology)","Journal of Molecular Biology",2020,1,"1",NA,0,0,NA,1,1,1,1,0,NA,NA,"pdf/135.pdf"
419,"The Circadian Clock Gene Circuit Controls Protein and Phosphoprotein Rhythms in Arabidopsis thaliana","10.1016/j.mcpro.2021.100172","Karen Halliday","Other","Molecular & Cellular Proteomic and Metabolomics",2022,1,NA,1,1,1,"Public repository",4,4,4,4,NA,NA,NA,"pdf/419.pdf"
62,"PARK2 depletion connects energy and oxidative stress to PI3K/Akt activation via PTEN S-nitrosylation","10.1016/j.molcel.2017.02.019","Arends","IGC (Edinburgh Cancer Research)","Molecular Cell",2017,1,NA,NA,0,0,NA,1,1,1,1,0,NA,NA,"pdf/62.pdf"
78,"Exon junction complex shapes the transcriptome by repressing recursive splicing","10.1016/j.molcel.2018.09.033","Sibley","SBS (Institute of Quantitative Biology, Biochemistry and Biotechnology)","Molecular Cell",2018,1,"1",1,0,0,"GEO",4,4,4,4,1,1,NA,"pdf/78.pdf"
339,"Nickel and platinum group metal nanoparticle production by Desulfovibrio alaskensis G20","10.1016/j.nbt.2015.02.002","Louise Horsfall","IQB3","New Biotechnology",2015,0,NA,NA,1,0,"Not scored",1,1,1,1,NA,NA,NA,"pdf/339.pdf"
332,"Room temperature bioproduction, isolation and anti-microbial properties of stable elemental copper nanoparticles","10.1016/j.nbt.2017.10.002","Louise Horsfall","IQB3","New Biotechnology",2018,0,NA,NA,1,0,"Supplementary data",2,2,2,3,0,NA,NA,"pdf/332.pdf"
334,"High resolution fourier transform ion cyclotron resonance mass spectrometry (FT-ICR MS) for the characterisation of enzymatic processing of commercial lignin","10.1016/j.nbt.2019.03.001","Louise Horsfall","IQB3","New Biotechnology",2019,1,NA,NA,1,0,"Figshare repository",4,4,4,4,NA,NA,NA,"pdf/334.pdf"
25,"Abnormal proliferation and spontaneous differentiation of myoblasts from a symptomatic female carrier of X-linked Emery-Dreifuss muscular dystrophy","10.1016/j.nmd.2014.09.012","Schirmer","SBS (Institute of Cell Biology)","Neuromuscular Disorders",2015,1,NA,NA,1,0,"",1,1,1,1,0,0,0,"pdf/25.pdf"
467,"Developmental differences in the expression of FGF receptors between human and mouse embryos","10.1016/j.placenta.2014.09.008","Kunath","CRM","Placenta",2014,0,NA,NA,1,0,"S",2,2,2,2,0,1,0,"pdf/467.pdf"
