"ID","Title","DOI","ResGrp","Institution","Journal","Year","AnalysisPgrm","CodeArchived","DAS","CorresAuthor","Preprints","Repository","Complete","Reuse","Access","Licence","Image","Genomics","Human","filepath","txt_filepath","is_open_data","open_data_category","is_open_code","open_data_statements","open_code_statements","Method"
1,"ArdA proteins from different mobile genetic elements can bind to the EcoKI Type I DNA methyltransferase of E. coli K12","10.1016/j.bbapap.2013.12.008","Blakely","Edinburgh Infectious Diseases Organisation","Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics (ScienceDirect)",2014,1,NA,NA,0,0,"supp",2,3,2,4,0,0,NA,"pdf/1.pdf","txt/1.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
2,"Bacteria repelling poly(methylmethacrylate-co-dimethylacrylamide) coatings for biomedical devices","10.1039/C4TB01129E","Blakely","Edinburgh Infectious Diseases Organisation","Journal of Materials Chemistry B            (The Royal Society of Chemistry)",2014,1,NA,NA,0,0,"supp",2,2,2,4,0,NA,NA,"pdf/2.pdf","txt/2.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
3,"Exosomes secreted by nematode parasites transfer small RNAs to mammalian cells and modulate innate immunity","10.1038/ncomms6488","Buck","Edinburgh Infectious Diseases Organisation","Nature Communications                   (Nature)",2014,1,0,NA,1,0,"supp",2,4,4,4,NA,1,NA,"pdf/3.pdf","txt/3.txt",TRUE,"field-specific repository, supplement",FALSE,"bioinformatics 25 1841–1842 (2009). deposited in gene expression omnibus (http://www.ncbi.nlm.nih.gov/geo/) under accession codes gse55978 and gse55941.   small rnas derived from bacteria identiﬁed in the adult library (b14% of reads; supplementary plants and parasites have been detected in human body ﬂuids9–12; fig. 1 and supplementary data set 1) with no evidence of however the mechanism by which these are secreted or excreted secretion.;     2). intestinal origin and are enriched for homologues of mammalian a total of 263 ‘high conﬁdence’ mirnas were classiﬁed from proteins found in exosomes including heat shock proteins the combined libraries based on representation of reads from tetraspanins and alix a protein associated with exosome both 5p and 3p arms of the hairpin and/or homology with known biogenesis1415 as well as a nematode argonaute (ago) protein. mirnas in other nematodes (supplementary data set 1).;     in addition ﬁve bantam family members dominate the of which 139 were speciﬁcally enriched in the vesicle fraction secretory products along with mir-87 and mir-60 which also are (po0.05 fig. 3b supplementary data set 2) including shared among protostomia (fig. 2a green) and three mirnas homologues of mammalian proteins present in exosomes: heat that evolved in the nematode lineage: mir-63 mir-239 and mir- shock proteins rab proteins tetraspanins19 and alix which is 77 (fig. 2a orange). mir-63 shares an identical seed site to associated with exosome biogenesis1415 (table 1).;     in this note nematode intestinal proteins are enriched in the vesicle mammalian systems mirnas have been found in body ﬂuids in fraction (fig. 3b green and supplementary data set 2) and association with speciﬁc proteins or in extracellular vesicles8. consistent with an intestinal origin of the nematode exosomes to determine whether these rnas could be present in vesicles vesicles of similar size are observed in the intestinal tissue of the h. polygyrus secretory products were ultracentrifuged and adult h. polygyrus analysed immediately ex vivo (fig. 3c).",NA,"oddpub"
4,"Parasite-Derived MicroRNAs in Host Serum As Novel Biomarkers of Helminth Infection","10.1371/journal.pntd.0002701","Buck","Edinburgh Infectious Diseases Organisation","PLOS Neglected Tropical Diseases      (Public Library of Science PLOS)",2014,1,1,NA,1,0,"NCBI GEO",4,4,4,4,NA,1,NA,"pdf/4.pdf","txt/4.txt",TRUE,"field-specific repository, supplement",FALSE,"the data discussed in this publication have been deposited in ncbi’s cumulative (bantam mir-277 and mir-3479-3p) mirna-score gene expression omnibus and are accessible through geo series between s. mansoni egg positive and negative participants (median accession number gse 49668. with interquartile range indicated) and roc curves (piida- panel a chiredzi-panel b) (**p0.01).     xlsx) minimize cross hybridization and sensitivity larger studies will be table s4",NA,"oddpub"
5,"Characterisation of Translation Elongation Factor eEF1B Subunit Expression in Mammalian Cells and Tissues and Co-Localisation with eEF1A2","10.1371/journal.pone.0114117","Abbott","IGC (Centre for Genomic and Experimental Medicine)","PLoS ONE",2014,1,NA,1,0,0,NA,1,1,1,1,0,NA,NA,"pdf/5.pdf","txt/5.txt",TRUE,"data availability statement",FALSE,"data availability: the authors confirm that all data underlying the findings are fully available without restriction. all relevant data are within the paper. introduction funding: the work was supported by wellcome trust 094180",NA,"oddpub"
6,"The translation elongation factor eEF1A1 couples transcription to translation during heat shock response","10.7554/eLife.03164","Abbott","IGC (Centre for Genomic and Experimental Medicine)","eLife",2014,1,NA,NA,0,0,NA,1,1,1,1,0,NA,NA,"pdf/6.pdf","txt/6.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
7,"A Polymorphic Enhancer near GREM1 Influences Bowel Cancer Risk through Differential CDX2 and TCF7L2 Binding","10.1016/j.celrep.2014.07.020","Tomlinson","IGC (Edinburgh Cancer Research)","Cell Reports",2014,1,NA,NA,1,0,NA,1,1,1,1,0,NA,NA,"pdf/7.pdf","txt/7.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
8,"The histone lysine demethylase JMJD3/KDM6B Is recruited to p53 bound promoters and enhancer elements in a p53 dependent manner","10.1371/journal.pone.0096545","Rappsilber","SBS (Institute of Cell Biology)","PLoS ONE",2014,1,1,NA,0,0,"supp",2,4,4,4,0,1,1,"pdf/8.pdf","txt/8.txt",TRUE,"field-specific repository",FALSE,"chip-seq data are available at the gene expression omnibus (geo) (accession number gse55912).",NA,"oddpub"
9,"Intercontinental Dispersal of HIV-1 Subtype B Associated with Transmission among Men Who Have Sex with Men in Japan","10.1128/jvi.01354-14","Leigh-Brown","Edinburgh Infectious Diseases Organisation","Journal of Virology                          (American Society for Microbiology)",2014,1,NA,NA,0,0,NA,1,1,1,1,NA,NA,1,"pdf/9.pdf","txt/9.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
10,"The Contribution of Viral Genotype to Plasma Viral Set-Point in HIV Infection","10.1371/journal.ppat.1004112","Leigh-Brown","Edinburgh Infectious Diseases Organisation","PLOS Pathogens                                     (Public Library of Science PLOS)",2014,1,NA,NA,1,0,NA,1,1,1,1,NA,NA,0,"pdf/10.pdf","txt/10.txt",TRUE,"field-specific repository",FALSE,"(j infect dis 2011) a foundation trust; mark nelson chelsea and westminster random sample of 10% of the database has been submitted to hospital nhs foundation trust london; chloe orkin barts genbank under accession numbers jn100661-jn101948. and the london nhs trust london; adrian palfreeman university hospitals of leicester nhs trust; andrew phillips ethics statement university college london medical school; deenan pillay university college london; jillian pritchard ashford & st.",NA,"oddpub"
